Title,Main Story,Main + Extra,Completionist,CPU,RAM,VIDEO CARD,DEDICATED VIDEO RAM
Baldur's Gate 3,59 Hours,105 Hours,148 Hours,Intel Core i7 8700K / AMD Ryzen 5 3600,16 GB,Nvidia GeForce RTX 2060 Super / RX 5700 XT (8GB+ of VRAM),8192 MB
Cyberpunk 2077,25 Hours,61 Hours,104 Hours,,,,
Red Dead Redemption 2,50 Hours,82 Hours,182 Hours,,,,
Elden Ring,58½ Hours,100 Hours,133 Hours,,,,
Grand Theft Auto V,31½ Hours,50 Hours,83½ Hours,,,,
Portal 2,8½ Hours,13½ Hours,21½ Hours,,,,
Portal,3 Hours,5 Hours,10 Hours,,,,
The Witcher 3: Wild Hunt,51½ Hours,103 Hours,173 Hours,,,,
Super Mario Bros. Wonder,9½ Hours,13 Hours,19 Hours,,,,
Hollow Knight,27 Hours,41½ Hours,63 Hours,,,,
God of War (2018),20½ Hours,33 Hours,51 Hours,,,,
The Legend of Zelda: Tears of the Kingdom,59 Hours,115 Hours,239 Hours,,,,
Hogwarts Legacy,26½ Hours,43½ Hours,68 Hours,,,,
Tomb Raider (2013),11½ Hours,15½ Hours,21 Hours,,,,
BioShock,12 Hours,15½ Hours,22½ Hours,,,,
Hades,23 Hours,48½ Hours,95½ Hours,,,,
Disco Elysium,23 Hours,32½ Hours,46 Hours,,,,
Marvel's Guardians of the Galaxy,17½ Hours,20½ Hours,25½ Hours,,,,
Alan Wake II,18 Hours,24½ Hours,29½ Hours,,,,
BioShock Infinite,11½ Hours,16 Hours,28 Hours,,,,
Marvel's Spider-Man 2,17 Hours,22½ Hours,27½ Hours,,,,
Half-Life,12 Hours,14 Hours,15½ Hours,,,,
Half-Life 2,13 Hours,15½ Hours,19½ Hours,,,,
Resident Evil 4 (2023),16 Hours,21 Hours,58½ Hours,,,,
Resident Evil 2 (2019),8½ Hours,15 Hours,35 Hours,,,,
Star Wars Jedi: Fallen Order,17 Hours,22 Hours,31½ Hours,,,,
Doom (2016),11½ Hours,16½ Hours,27 Hours,,,,
The Elder Scrolls V: Skyrim - Special Edition,26 Hours,114 Hours,207 Hours,,,,
Stardew Valley,52½ Hours,90 Hours,160 Hours,,,,
NieR: Automata,21 Hours,37½ Hours,61½ Hours,,,,
BioShock 2,10½ Hours,14½ Hours,23½ Hours,,,,
Horizon Zero Dawn - Complete Edition,29½ Hours,52½ Hours,76½ Hours,,,,
Borderlands 2,30 Hours,54½ Hours,130 Hours,,,,
Batman: Arkham Knight,16½ Hours,31 Hours,50½ Hours,,,,
Batman: Arkham Asylum GOTY,11 Hours,15½ Hours,25 Hours,,,,
The Legend of Zelda: Breath of the Wild,50 Hours,98 Hours,191 Hours,,,,
Batman: Arkham City GOTY,13½ Hours,23 Hours,57 Hours,,,,
Marvel's Spider-Man: Miles Morales,7½ Hours,12½ Hours,18 Hours,,,,
Undertale,7 Hours,11 Hours,20½ Hours,,,,
A Plague Tale: Innocence,11 Hours,12½ Hours,16 Hours,,,,
Final Fantasy VII Remake,33 Hours,41½ Hours,86 Hours,,,,
Left 4 Dead 2,10 Hours,25½ Hours,56½ Hours,,,,
Persona 5 Royal,101 Hours,123 Hours,142 Hours,,,,
Dark Souls III,32 Hours,48½ Hours,99 Hours,,,,
Fallout: New Vegas,27½ Hours,59½ Hours,131 Hours,,,,
Celeste,8 Hours,14 Hours,37½ Hours,,,,
Little Nightmares,3½ Hours,5 Hours,8 Hours,,,,
Yakuza 0,31½ Hours,64½ Hours,142 Hours,,,,
Control: Ultimate Edition,12½ Hours,25 Hours,38½ Hours,,,,
Sea of Stars,28 Hours,34½ Hours,42 Hours,,,,
Fallout 4,27 Hours,81½ Hours,159 Hours,,,,
Dave the Diver,23½ Hours,31 Hours,46½ Hours,,,,
Dishonored,12 Hours,18 Hours,37 Hours,,,,
Doom Eternal,14½ Hours,20 Hours,27 Hours,,,,
Outer Wilds,16½ Hours,22 Hours,26½ Hours,,,,
Vampire Survivors,13 Hours,24½ Hours,45½ Hours,,,,
Super Mario RPG (2023),12 Hours,14 Hours,20 Hours,,,,
God of War: Ragnarök,26 Hours,40 Hours,53½ Hours,,,,
Hellblade: Senua's Sacrifice,7½ Hours,8 Hours,9 Hours,,,,
Alan Wake,11 Hours,14½ Hours,26½ Hours,,,,
Ori and the Blind Forest: Definitive Edition,9 Hours,11 Hours,12½ Hours,,,,
Ghostrunner,7 Hours,8½ Hours,13 Hours,,,,
Sekiro: Shadows Die Twice,29½ Hours,42½ Hours,70 Hours,,,,
The Witcher 2: Assassins of Kings,24 Hours,34 Hours,56 Hours,,,,
Lies of P,30 Hours,36½ Hours,58 Hours,,,,
Divinity: Original Sin II,59 Hours,100 Hours,152 Hours,,,,
Rise of the Tomb Raider,13½ Hours,22 Hours,35 Hours,,,,
Starfield,22 Hours,70½ Hours,147 Hours,,,,
Life Is Strange,14 Hours,16½ Hours,18½ Hours,,,,
Half-Life 2: Episode One,3½ Hours,4 Hours,5 Hours,,,,
Monster Hunter: World,47½ Hours,111 Hours,403 Hours,,,,
Metro Exodus,15½ Hours,23½ Hours,39½ Hours,,,,
Destiny 2,12 Hours,38 Hours,157 Hours,,,,
Middle-Earth: Shadow of Mordor,15½ Hours,24 Hours,32½ Hours,,,,
Persona 4 Golden,68 Hours,84 Hours,136 Hours,,,,
Titanfall 2,6 Hours,8 Hours,15½ Hours,,,,
Ghostwire: Tokyo,11 Hours,22 Hours,39½ Hours,,,,
Half-Life 2: Episode Two,5 Hours,6 Hours,9 Hours,,,,
