Model,TDP (Watts)
STG-2000,
Riva 128,
Riva 128ZX,
Riva TNT,
Vanta,
Vanta LT,
Riva TNT2 M64,
Riva TNT2,
Riva TNT2 Pro,
Riva TNT2 Ultra,
GeForce 256 SDR,
GeForce 256 DDR,
GeForce2 MX IGP + nForce 220/420,
GeForce2 MX200,
GeForce2 MX,
GeForce2 MX400,
GeForce2 GTS,
GeForce2 Pro,
GeForce2 Ti,
GeForce2 Ultra,
GeForce3 Ti200,
GeForce3,
GeForce3 Ti500,
GeForce4 MX IGP + nForce2,
GeForce4 MX420,
GeForce4 MX440 SE,
GeForce MX4000,
GeForce PCX4300,
GeForce4 MX440,
GeForce4 MX440 8x,
GeForce4 MX460,
GeForce4 Ti4200,
GeForce4 Ti4200 8x,
GeForce4 Ti4400,
GeForce4 Ti4400 8x (Ti4800SE,
GeForce4 Ti4600,
GeForce4 Ti4600 8x (Ti4800,
GeForce4 MX420,
GeForce4 MX440 SE,
GeForce4 MX4000,
GeForce4 PCX4300,
GeForce4 MX440,
GeForce4 MX440 8X,
GeForce4 MX460,
GeForce4 Ti4200,
GeForce4 Ti4200 8x,
GeForce4 Ti4400,
GeForce4 Ti4400 8x,
GeForce4 Ti4600,
GeForce4 Ti4600 8x,
GeForce FX 5100,
GeForce FX 5200 LE,
GeForce FX 5200,
GeForce FX 5200 Ultra,
GeForce PCX 5300,
GeForce FX 5500,
GeForce FX 5600 XT,
GeForce FX 5600,
GeForce FX 5600 Ultra,
GeForce FX 5600 Ultra Rev.2,
GeForce FX 5700 VE,
GeForce FX 5700 LE,
GeForce FX 5700,
GeForce PCX 5750,
GeForce FX 5700 Ultra,
GeForce FX 5700 Ultra GDDR3,
GeForce FX 5800,
GeForce FX 5800 Ultra,
GeForce FX 5900 ZT,
GeForce FX 5900 XT,
GeForce FX 5900,
GeForce FX 5900 Ultra,
GeForce PCX 5900,
GeForce FX 5950 Ultra,
GeForce PCX 5950,
GeForce 6100 + nForce 410,
GeForce 6150 SE + nForce 430,
GeForce 6150 LE + nForce 430,
GeForce 6150 + nForce 430,
GeForce 6200 LE,
GeForce 6200A,
GeForce 6200,
GeForce 6200 TurboCache,
GeForce 6500,
GeForce 6600 LE,
GeForce 6600,
GeForce 6600 GT,
GeForce 6800 LE,
GeForce 6800 XT,
GeForce 6800,
GeForce 6800 GTO,
GeForce 6800 GS,
GeForce 6800 GT,
GeForce 6800 Ultra,
GeForce 6800 Ultra Extreme Edition,
GeForce 6100,
GeForce 6150 SE,
GeForce 6150,
GeForce 6150 LE,
GeForce 6200,
GeForce 6500,
GeForce 6600 LE,
GeForce 6600,
GeForce 6600 DDR2,
GeForce 6600 GT,
GeForce 6800 LE,
GeForce 6800 XT,
GeForce 6800,
GeForce 6800 GTO,
GeForce 6800 GS,
GeForce 6800 GT,
GeForce 6800 Ultra,
GeForce 7025 + nForce 630a,
GeForce 7050PV + nForce 630a,
GeForce 7050 + nForce 610i/630i,
GeForce 7100 + nForce 630i,
GeForce 7150 + nForce 630i,
GeForce 7100 GS,
GeForce 7200 GS,
GeForce 7300 SE,
GeForce 7300 LE,
GeForce 7300 GS,
GeForce 7300 GT,
GeForce 7500 LE,
GeForce 7600 GS,
GeForce 7600 GT,
GeForce 7600 GT 80 nm,
GeForce 7650 GS,
GeForce 7800 GS,
GeForce 7800 GT,
GeForce 7800 GTX,
GeForce 7900 GS,
GeForce 7900 GT,
GeForce 7900 GTO,
