Model,TDP (W)
780,27.0
770,27.0
760,27.0
750,27.0
740,27.0
730,27.0
Core Solo T1400,27.0
Core Solo T1300,27.0
Core Solo T1250,27.0
Core Solo U1500,5.5
Core Solo U1400,5.5
Core Solo U1300,5.5
Core Duo T2700,31.0
Core Duo T2600,31.0
Core Duo T2500,31.0
Core Duo T2450,31.0
Core Duo T2400,31.0
Core Duo T2350,31.0
Core Duo T2300,31.0
Core Duo T2250,31.0
Core Duo T2050,31.0
Core Duo T2300E,31.0
Core Duo L2500,15.0
Core Duo L2400,15.0
Core Duo L2300,15.0
Core Duo U2500,9.0
Core Duo U2400,9.0
T2130,31.0
T2080,31.0
T2060,31.0
M 450,65.0
M 420,65.0
Xeon Dual Core LV 2.16 GHz,31.0
Xeon Dual Core LV 2.0 GHz,31.0
Xeon Dual Core LV 1.6 GHz,31.0
Xeon Dual Core ULV 1.6 GHz,15.0
X6800,95.0
E6850,65.0
E6750,65.0
E6700,65.0
E6600,65.0
E6550,65.0
E6540,65.0
E6420,65.0
E6400,65.0
E6320,65.0
E6300,65.0
E4700,65.0
E4600,65.0
E4500,65.0
E4400,65.0
E4300,65.0
E2220,65.0
E2200,65.0
E2180,65.0
E2160,65.0
E2140,65.0
440,35.0
430,35.0
420,35.0
220,19.0
E1500,65.0
E1400,65.0
E1200,65.0
Xeon 3085,65.0
Xeon 3075,65.0
Xeon 3070,65.0
Xeon 3065,65.0
Xeon 3060,65.0
Xeon 3050,65.0
Xeon 3040,65.0
QX6850,130.0
QX6800,130.0
QX6700,130.0
Q6700,95.0
X3230,65.0
X3220,65.0
X3210,65.0
Xeon 5160,80.0
Xeon 5150,65.0
Xeon 5148,40.0
Xeon 5140,65.0
Xeon 5138,35.0
Xeon 5130,65.0
Xeon 5128,40.0
Xeon 5120,65.0
Xeon 5110,65.0
Xeon X5365,120.0
Xeon X5355,120.0
Xeon X5345,80.0
Xeon E5335,80.0
Xeon L5335,50.0
Xeon E5320,80.0
Xeon L5320,50.0
Xeon E5310,80.0
Xeon L5318,40.0
Xeon L5310,50.0
Xeon E7220,80.0
Xeon E7210,80.0
Xeon X7350,130.0
Xeon L7345,50.0
Xeon E7340,80.0
Xeon E7330,80.0
Xeon E7320,80.0
Xeon E7310,80.0
E8600,65.0
E8500,65.0
E8400,65.0
E8300,65.0
E8200,65.0
E8190 ,65.0
E7600,65.0
E7500,65.0
E7400,65.0
E7300,65.0
E7200,65.0
E5800,65.0
E5700,65.0
E5500,65.0
E5400,65.0
E5300,65.0
E5200,65.0
E3500,65.0
E3400,65.0
E3300,65.0
E3200,65.0
X5270,80.0
X5272,80.0
X5260,80.0
E5240,65.0
E5220,65.0
E5205,65.0
L5238,35.0
E3110,65.0
X9000,44.0
T9500,35.0
T9300,35.0
T8300,35.0
T8100,35.0
T3100,35.0
T3000,35.0
SU2300,10.0
T1700,35.0
T1600,35.0
T1500,35.0
T1400,35.0
900,35.0
743,10.0
723,10.0
722,5.5
QX9300,45.0
X9100,45.0
Q9100,45.0
T9600,35.0
T9400,35.0
E8435,65.0
E8335,65.0
E8235,65.0
E8135,65.0
P9500,25.0
P8600,25.0
P8400,25.0
P7350,25.0
SP9400,25.0
SP9300,25.0
SL9400,17.0
SL9300,17.0
SU9400,10.0
SU9300,10.0
U3300,5.5
585,31.0
575,31.0
QX9770,130.0
QX9775,150.0
QX9650,130.0
Q9650,130.0
Q9550,95.0
Q9550S,65.0
Q9450,95.0
Q9400,95.0
Q9400S,65.0
Q9300,95.0
Q8300,95.0
Q8200,95.0
Q8200S,65.0
Xeon X3360,95.0
Xeon X3350,95.0
Xeon X3320,95.0
X5492,150.0
X5472,120.0
X5470,120.0
X5460,120.0
X5450,120.0
E5472,80.0
E5462,80.0
E5450,80.0
E5440,80.0
E5430,80.0
E5420,80.0
E5410,80.0
E5405,80.0
L5430,50.0
L5420,50.0
L5410,50.0
L5408,40.0
X7460,130.0
E7458,95.0
E7450,95.0
E7440,80.0
E7430,80.0
E7420,80.0
L7455,65.0
L7445,50.0
Xeon W5590,130.0
Xeon W5580,130.0
Xeon X5570,95.0
